Date,Description,Amount,Category,Partner
2025-07-25,Furniture Service,-56.67,Home Improvement,Joint
2025-07-26,Parking Purchase,-75.88,Transportation,Sam
2025-07-26,Books - Monthly,-148.88,Entertainment,Joint
2025-07-27,Car Service - Emergency,-10.55,Transportation,Sam
2025-07-27,Car Service - Emergency,-33.49,Transportation,Sam
2025-07-28,Hardware Store Purchase,-98.13,Home Improvement,Joint
2025-07-28,Uber - Emergency,-10.58,Transportation,Sam
2025-07-28,Electric - Monthly,-147.43,Bills & Utilities,Joint
2025-07-29,Hotel Service,-1253.05,Travel,Sam
2025-07-29,Organic Farmers Market,-114.51,Groceries,Joint
2025-07-29,Organic Market - Bulk Buy,-38.54,Groceries,Sam
2025-07-29,Repairs Service,-85.39,Home Improvement,Sam
2025-07-29,Organic Bulk Store,-171.63,Groceries,Joint
2025-07-30,Delivery #1234,-18.04,Food & Dining,Joint
2025-07-30,Electric Purchase,-100.73,Bills & Utilities,Alex
2025-07-31,Car Service Service,-54.95,Transportation,Alex
2025-07-31,Fast Food - Lunch,-41.1,Food & Dining,Joint
2025-07-31,Flight Purchase,-740.97,Travel,Sam
2025-08-01,Supermarket - Weekly Shop,-44.59,Groceries,Alex
2025-08-01,Gas Station - Monthly,-41.64,Transportation,Sam
2025-08-02,Online Purchase - Emergency,-281.64,Shopping,Alex
2025-08-02,Grocery Store - Lunch,-115.8,Food & Dining,Sam
2025-08-02,Online Purchase - Monthly,-198.93,Shopping,Sam
2025-08-03,Delivery - Downtown,-61.18,Food & Dining,Sam
2025-08-03,Delivery - Downtown,-117.06,Food & Dining,Alex
2025-08-03,Furniture - Emergency,-366.11,Home Improvement,Alex
2025-08-03,Restaurant - Date Night,-40.66,Food & Dining,Joint
2025-08-03,Books - Emergency,-30.22,Entertainment,Joint
2025-08-04,Travel Insurance - Emergency,-1854.18,Travel,Sam
2025-08-04,Pet Store Service,-129.84,Pet Care,Alex
2025-08-04,Grooming Purchase,-140.21,Pet Care,Sam
2025-08-04,Online Purchase Purchase,-104.57,Shopping,Joint
2025-08-05,Hotel - Monthly,-1058.79,Travel,Alex
2025-08-05,Appliances - Monthly,-445.01,Home Improvement,Sam
2025-08-05,Electric Purchase,-217.91,Bills & Utilities,Alex
2025-08-06,Electric Purchase,-77.71,Bills & Utilities,Sam
2025-08-06,Movies Purchase,-76.04,Entertainment,Joint
2025-08-06,Repairs Purchase,-137.1,Home Improvement,Alex
2025-08-06,Streaming - Monthly,-127.02,Entertainment,Joint
2025-08-07,Flight Purchase,-1543.79,Travel,Joint
2025-08-07,Farmers Market - Weekly Shop,-80.26,Groceries,Sam
2025-08-07,Gas Purchase,-321.96,Bills & Utilities,Sam
2025-08-08,Amazon - Emergency,-131.87,Shopping,Sam
2025-08-08,Movies Purchase,-34.9,Entertainment,Joint
2025-08-08,Furniture Service,-171.96,Home Improvement,Joint
2025-08-08,Boutique Service,-66.85,Shopping,Sam
2025-08-09,Pharmacy - Emergency,-111.2,Health & Fitness,Alex
2025-08-09,Organic Farmers Market,-98.8,Groceries,Alex
2025-08-09,Grooming Purchase,-98.14,Pet Care,Alex
2025-08-09,Amazon - Emergency,-129.05,Shopping,Sam
2025-08-09,Amazon Service,-187.62,Shopping,Sam
2025-08-10,Electric - Emergency,-148.67,Bills & Utilities,Alex
2025-08-10,Appliances - Emergency,-132.75,Home Improvement,Sam
2025-08-10,Appliances Purchase,-256.51,Home Improvement,Joint
2025-08-10,Organic Market Store,-167.58,Groceries,Alex
2025-08-11,Delivery - Date Night,-99.23,Food & Dining,Joint
2025-08-11,Organic Market Store,-40.4,Groceries,Alex
2025-08-11,Games Service,-146.11,Entertainment,Sam
2025-08-11,Water Service,-259.43,Bills & Utilities,Joint
2025-08-11,Vet - Emergency,-63.84,Pet Care,Sam
2025-08-12,Doctor - Emergency,-81.79,Health & Fitness,Joint
2025-08-12,Hotel Service,-1322.52,Travel,Sam
2025-08-13,Electric - Emergency,-346.09,Bills & Utilities,Joint
2025-08-13,Pet Store Purchase,-82.1,Pet Care,Alex
2025-08-13,Grooming Purchase,-157.65,Pet Care,Alex
2025-08-13,Amazon Service,-195.03,Shopping,Joint
2025-08-13,Doctor - Emergency,-37.74,Health & Fitness,Joint
2025-08-14,Organic Market Store,-165.98,Groceries,Sam
2025-08-14,Flight - Emergency,-568.58,Travel,Sam
2025-08-14,Gym - Emergency,-274.36,Health & Fitness,Joint
2025-08-15,Amazon Purchase,-227.74,Shopping,Sam
2025-08-15,Repairs Purchase,-72.73,Home Improvement,Joint
2025-08-15,Repairs Purchase,-167.53,Home Improvement,Sam
2025-08-15,Grocery Store #1234,-35.42,Food & Dining,Joint
2025-08-16,Movies Purchase,-89.13,Entertainment,Alex
2025-08-16,Repairs Purchase,-199.46,Home Improvement,Joint
2025-08-16,Department Store - Emergency,-85.72,Shopping,Alex
2025-08-16,Internet Service,-81.86,Bills & Utilities,Alex
2025-08-16,Repairs - Emergency,-268.2,Home Improvement,Joint
2025-08-17,Car Service - Monthly,-28.1,Transportation,Alex
2025-08-17,Furniture - Emergency,-105.43,Home Improvement,Alex
2025-08-17,Gas Station Service,-37.41,Transportation,Joint
2025-08-18,Travel Insurance Purchase,-351.26,Travel,Sam
