Date,Description,Amount,Category,Partner
2025-07-30,Concert Service,-141.8,Entertainment,Joint
2025-07-30,Therapy Purchase,-101.98,Health & Fitness,Sam
2025-07-30,Pet Store - Monthly,-51.97,Pet Care,Joint
2025-07-30,Uber - Monthly,-28.47,Transportation,Alex
2025-07-31,Taxi - Monthly,-27.67,Transportation,Alex
2025-07-31,Electric - Emergency,-187.85,Bills & Utilities,Sam
2025-07-31,Water Service,-197.34,Bills & Utilities,Sam
2025-08-01,Concert Service,-101.78,Entertainment,Sam
2025-08-01,Delivery - Downtown,-94.64,Food & Dining,Joint
2025-08-01,Books Purchase,-52.12,Entertainment,Joint
2025-08-02,Travel Insurance Purchase,-949.16,Travel,Sam
2025-08-02,Internet - Emergency,-363.87,Bills & Utilities,Sam
2025-08-03,Department Store Service,-157.24,Shopping,Alex
2025-08-03,Parking Purchase,-29.82,Transportation,Sam
2025-08-03,Furniture - Emergency,-451.36,Home Improvement,Joint
2025-08-04,Department Store Service,-44.33,Shopping,Alex
2025-08-04,Uber - Monthly,-26.13,Transportation,Sam
2025-08-04,Streaming Service,-87.01,Entertainment,Joint
2025-08-04,Doctor Service,-214.14,Health & Fitness,Joint
2025-08-05,Appliances Purchase,-325.34,Home Improvement,Joint
2025-08-05,Books - Emergency,-42.52,Entertainment,Sam
2025-08-06,Pet Store - Emergency,-42.36,Pet Care,Alex
2025-08-06,Pharmacy - Monthly,-164.09,Health & Fitness,Sam
2025-08-06,Amazon Purchase,-106.16,Shopping,Sam
2025-08-06,Taxi Purchase,-72.19,Transportation,Alex
2025-08-07,Grooming Service,-58.29,Pet Care,Alex
2025-08-07,Doctor - Monthly,-267.4,Health & Fitness,Alex
2025-08-07,Coffee Shop - Date Night,-86.53,Food & Dining,Joint
2025-08-07,Concert Service,-96.02,Entertainment,Sam
2025-08-07,Delivery - Downtown,-50.73,Food & Dining,Joint
2025-08-08,Streaming Purchase,-90.57,Entertainment,Sam
2025-08-09,Parking - Monthly,-62.87,Transportation,Alex
2025-08-10,Amazon - Monthly,-164.14,Shopping,Sam
2025-08-10,Vet Purchase,-83.21,Pet Care,Sam
2025-08-10,Hardware Store - Emergency,-419.02,Home Improvement,Sam
2025-08-10,Electric Purchase,-188.47,Bills & Utilities,Alex
2025-08-11,Furniture - Monthly,-279.94,Home Improvement,Alex
2025-08-11,Dentist Service,-44.6,Health & Fitness,Joint
2025-08-11,Pet Food - Emergency,-62.46,Pet Care,Alex
2025-08-12,Online Purchase Service,-249.8,Shopping,Sam
2025-08-12,Organic Bulk Store,-102.24,Groceries,Alex
2025-08-13,Games - Emergency,-57.55,Entertainment,Alex
2025-08-13,Grooming - Monthly,-52.53,Pet Care,Alex
2025-08-13,Repairs Purchase,-212.22,Home Improvement,Joint
2025-08-13,Car Rental - Monthly,-1586.58,Travel,Sam
2025-08-13,Gas Station - Monthly,-59.11,Transportation,Sam
2025-08-14,Farmers Market - Bulk Buy,-233.83,Groceries,Alex
2025-08-14,Bulk Store - Weekly Shop,-171.29,Groceries,Alex
2025-08-14,Organic Organic Market,-39.97,Groceries,Joint
2025-08-15,Flight - Emergency,-324.18,Travel,Joint
2025-08-15,Therapy Purchase,-280.97,Health & Fitness,Sam
2025-08-15,Pharmacy Service,-63.18,Health & Fitness,Joint
2025-08-15,Grocery Store - Downtown,-60.16,Food & Dining,Sam
2025-08-15,Uber - Emergency,-9.84,Transportation,Joint
2025-08-16,Amazon Purchase,-41.61,Shopping,Sam
2025-08-17,Department Store Service,-93.7,Shopping,Sam
2025-08-17,Uber - Emergency,-67.32,Transportation,Sam
2025-08-18,Electric - Monthly,-287.14,Bills & Utilities,Alex
2025-08-18,Gas - Monthly,-275.49,Bills & Utilities,Sam
